iter	Passed	Remaining
0	5	5355
1	11	5823
2	18	6047
3	25	6241
4	31	6173
5	37	6208
6	43	6221
7	50	6242
8	56	6262
9	63	6238
10	72	6498
11	78	6469
12	85	6465
13	91	6440
14	98	6499
15	105	6502
16	112	6510
17	119	6513
18	126	6506
19	132	6501
20	139	6491
21	146	6507
22	153	6517
23	159	6500
24	166	6501
25	173	6495
26	179	6477
27	186	6465
28	192	6452
29	199	6457
30	206	6452
31	213	6448
32	220	6450
33	226	6440
34	234	6452
35	240	6438
36	247	6443
37	253	6428
38	260	6425
39	267	6414
40	273	6403
41	280	6404
42	287	6392
43	294	6396
44	301	6396
45	308	6401
46	316	6410
47	323	6422
48	331	6435
49	339	6450
50	347	6463
51	355	6476
52	363	6489
53	371	6501
54	379	6513
55	387	6526
56	396	6560
57	404	6573
58	412	6577
59	420	6580
60	427	6587
61	436	6597
62	443	6602
63	451	6605
64	459	6605
65	466	6606
66	474	6609
67	482	6617
68	490	6616
69	497	6615
70	505	6620
71	513	6618
72	520	6614
73	530	6635
74	538	6644
75	545	6635
76	553	6634
77	561	6640
78	569	6641
79	577	6639
80	583	6622
81	589	6596
82	595	6576
83	600	6553
84	607	6535
85	613	6520
86	620	6516
87	625	6485
88	631	6464
89	636	6439
90	642	6413
91	647	6394
92	653	6368
93	657	6340
94	663	6320
95	668	6295
96	673	6270
97	679	6257
98	685	6241
99	691	6224
100	697	6207
101	703	6189
102	708	6171
103	713	6146
104	718	6121
105	723	6101
106	728	6081
107	734	6063
108	739	6043
109	744	6024
110	753	6030
111	758	6015
112	763	5995
113	769	5980
114	777	5985
115	782	5964
116	788	5949
117	793	5930
118	798	5911
119	803	5893
120	808	5874
121	813	5855
122	818	5837
123	823	5818
124	828	5800
125	833	5783
126	838	5767
127	843	5749
128	849	5735
129	854	5720
130	860	5705
131	865	5689
132	870	5675
133	876	5662
134	882	5651
135	887	5638
136	893	5626
137	899	5616
138	905	5611
139	912	5603
140	919	5599
141	924	5584
142	930	5577
143	936	5569
144	942	5559
145	949	5556
146	956	5548
147	962	5540
148	967	5526
149	973	5518
150	978	5504
151	983	5489
152	989	5475
153	994	5461
154	1002	5467
155	1008	5454
156	1013	5442
157	1018	5428
158	1023	5414
159	1028	5402
160	1034	5388
161	1039	5375
162	1044	5364
163	1049	5351
164	1054	5337
165	1060	5327
166	1065	5315
167	1070	5302
168	1077	5297
169	1083	5287
170	1088	5275
171	1094	5267
172	1099	5257
173	1104	5244
174	1109	5232
175	1114	5220
176	1130	5256
177	1135	5245
178	1141	5234
179	1146	5221
180	1152	5217
181	1159	5213
182	1165	5201
183	1170	5188
184	1174	5175
185	1180	5164
186	1185	5154
187	1190	5142
188	1195	5130
189	1200	5117
190	1205	5106
191	1210	5094
192	1215	5083
193	1221	5073
194	1225	5060
195	1230	5047
196	1235	5037
197	1240	5026
198	1245	5014
199	1251	5004
200	1256	4993
201	1261	4982
202	1266	4972
203	1271	4962
204	1277	4953
205	1284	4949
206	1290	4942
207	1296	4934
208	1301	4925
209	1306	4915
210	1311	4905
211	1317	4898
212	1325	4897
213	1330	4887
214	1335	4877
215	1340	4866
216	1346	4858
217	1351	4848
218	1357	4842
219	1363	4833
220	1368	4823
221	1374	4818
222	1385	4826
223	1391	4820
224	1397	4812
225	1402	4803
226	1408	4797
227	1413	4787
228	1419	4777
229	1425	4770
230	1430	4761
231	1435	4752
232	1441	4745
233	1446	4735
234	1451	4726
235	1457	4718
236	1462	4708
237	1467	4698
238	1474	4694
239	1479	4686
240	1486	4682
241	1494	4681
242	1500	4674
243	1505	4665
244	1510	4655
245	1516	4647
246	1521	4639
247	1526	4630
248	1532	4622
249	1540	4621
250	1545	4612
251	1550	4602
252	1555	4593
253	1560	4583
254	1565	4574
255	1570	4565
256	1576	4556
257	1581	4548
258	1586	4540
259	1592	4532
260	1597	4524
261	1603	4516
262	1608	4507
263	1613	4498
264	1618	4489
265	1623	4480
266	1628	4471
267	1634	4463
268	1639	4454
269	1644	4445
270	1649	4437
271	1655	4429
272	1660	4420
273	1665	4412
274	1673	4411
275	1678	4403
276	1684	4397
277	1692	4394
278	1698	4388
279	1703	4380
280	1708	4370
281	1713	4363
282	1718	4354
283	1723	4345
284	1729	4338
285	1734	4329
286	1739	4320
287	1744	4312
288	1749	4303
289	1754	4294
290	1759	4287
291	1764	4279
292	1769	4270
293	1775	4263
294	1780	4254
295	1785	4246
296	1790	4239
297	1795	4230
298	1800	4222
299	1806	4215
300	1812	4209
301	1817	4200
302	1823	4193
303	1828	4185
304	1833	4177
305	1838	4170
306	1843	4161
307	1848	4153
308	1854	4146
309	1859	4138
310	1864	4130
311	1870	4125
312	1876	4117
313	1881	4111
314	1888	4106
315	1893	4098
316	1898	4090
317	1904	4083
318	1909	4075
319	1915	4071
320	1921	4064
321	1927	4058
322	1932	4051
323	1937	4043
324	1942	4035
325	1948	4028
326	1953	4021
327	1965	4027
328	1970	4019
329	1975	4011
330	1981	4004
331	1986	3996
332	1992	3990
333	1998	3984
334	2003	3977
335	2008	3969
336	2014	3962
337	2019	3955
338	2024	3947
339	2029	3940
340	2035	3932
341	2039	3924
342	2045	3917
343	2050	3911
344	2055	3903
345	2061	3896
346	2067	3890
347	2073	3885
348	2079	3879
349	2085	3873
350	2092	3869
351	2099	3864
352	2105	3859
353	2112	3854
354	2118	3849
355	2124	3843
356	2131	3838
357	2137	3833
358	2144	3829
359	2152	3826
360	2159	3822
361	2165	3817
362	2172	3812
363	2178	3806
364	2185	3801
365	2191	3795
366	2197	3790
367	2203	3784
368	2210	3779
369	2216	3774
370	2222	3768
371	2229	3763
372	2234	3756
373	2240	3750
374	2248	3747
375	2255	3742
376	2261	3737
377	2268	3732
378	2274	3727
379	2281	3721
380	2288	3717
381	2294	3712
382	2302	3708
383	2307	3700
384	2312	3693
385	2317	3686
386	2322	3678
387	2327	3671
388	2332	3664
389	2337	3656
390	2342	3649
391	2348	3642
392	2353	3635
393	2358	3627
394	2364	3620
395	2377	3625
396	2382	3618
397	2387	3610
398	2392	3603
399	2397	3596
400	2402	3589
401	2407	3582
402	2413	3575
403	2418	3568
404	2423	3561
405	2429	3554
406	2434	3547
407	2439	3540
408	2445	3534
409	2450	3526
410	2455	3518
411	2462	3514
412	2468	3508
413	2474	3502
414	2480	3496
415	2486	3490
416	2492	3485
417	2498	3479
418	2504	3472
419	2509	3465
420	2514	3458
421	2519	3451
422	2525	3444
423	2530	3437
424	2539	3436
425	2544	3428
426	2550	3422
427	2555	3415
428	2560	3407
429	2565	3401
430	2571	3394
431	2576	3387
432	2582	3382
433	2589	3376
434	2594	3369
435	2599	3362
436	2604	3355
437	2609	3348
438	2615	3342
439	2620	3335
440	2626	3329
441	2631	3322
442	2637	3315
443	2642	3309
444	2647	3302
445	2653	3296
446	2663	3294
447	2669	3289
448	2677	3285
449	2683	3279
450	2689	3273
451	2694	3267
452	2701	3261
453	2706	3255
454	2712	3248
455	2720	3246
456	2726	3239
457	2732	3233
458	2737	3226
459	2742	3219
460	2749	3214
461	2754	3207
462	2759	3200
463	2764	3193
464	2769	3186
465	2774	3179
466	2780	3173
467	2785	3166
468	2790	3159
469	2795	3152
470	2800	3145
471	2806	3139
472	2811	3132
473	2816	3125
474	2822	3119
475	2827	3112
476	2832	3105
477	2837	3098
478	2843	3092
479	2848	3085
480	2853	3079
481	2859	3072
482	2864	3065
483	2871	3060
484	2876	3054
485	2881	3047
486	2887	3041
487	2892	3035
488	2898	3028
489	2903	3021
490	2908	3014
491	2912	3007
492	2920	3003
493	2925	2996
494	2931	2990
495	2936	2984
496	2941	2977
497	2947	2971
498	2952	2964
499	2957	2957
500	2962	2951
501	2968	2944
502	2974	2938
503	2979	2932
504	2984	2925
505	2989	2918
506	2995	2912
507	3001	2906
508	3006	2900
509	3011	2893
510	3016	2886
511	3021	2879
512	3026	2873
513	3031	2866
514	3039	2862
515	3044	2855
516	3049	2848
517	3056	2844
518	3062	2838
519	3068	2832
520	3073	2826
521	3079	2819
522	3084	2813
523	3089	2806
524	3095	2800
525	3100	2793
526	3105	2787
527	3110	2780
528	3115	2774
529	3120	2767
530	3126	2761
531	3131	2754
532	3136	2747
533	3140	2740
534	3145	2734
535	3150	2727
536	3155	2720
537	3161	2714
538	3165	2707
539	3170	2701
540	3175	2694
541	3181	2688
542	3186	2681
543	3193	2676
544	3198	2670
545	3204	2664
546	3209	2658
547	3214	2651
548	3234	2656
549	3239	2650
550	3244	2643
551	3249	2637
552	3254	2631
553	3259	2624
554	3265	2618
555	3271	2612
556	3276	2605
557	3281	2599
558	3287	2593
559	3293	2587
560	3298	2580
561	3303	2574
562	3308	2567
563	3313	2561
564	3318	2555
565	3323	2548
566	3328	2542
567	3334	2535
568	3339	2529
569	3344	2522
570	3349	2516
571	3354	2510
572	3359	2503
573	3365	2497
574	3370	2491
575	3375	2484
576	3380	2478
577	3385	2471
578	3389	2464
579	3397	2460
580	3402	2453
581	3407	2447
582	3412	2440
583	3417	2434
584	3422	2428
585	3427	2421
586	3433	2415
587	3440	2410
588	3446	2404
589	3451	2398
590	3456	2391
591	3462	2386
592	3467	2380
593	3473	2373
594	3479	2368
595	3485	2362
596	3491	2357
597	3496	2350
598	3501	2344
599	3506	2337
600	3511	2331
601	3516	2325
602	3521	2318
603	3527	2312
604	3532	2306
605	3536	2299
606	3542	2293
607	3551	2289
608	3556	2283
609	3561	2277
610	3566	2270
611	3573	2265
612	3578	2258
613	3583	2252
614	3588	2246
615	3594	2240
616	3599	2234
617	3604	2228
618	3609	2221
619	3614	2215
620	3619	2209
621	3624	2202
622	3629	2196
623	3635	2190
624	3640	2184
625	3647	2179
626	3653	2173
627	3658	2166
628	3664	2161
629	3670	2155
630	3676	2149
631	3682	2144
632	3688	2138
633	3694	2132
634	3700	2127
635	3707	2121
636	3713	2116
637	3720	2111
638	3727	2105
639	3733	2100
640	3739	2094
641	3746	2088
642	3752	2083
643	3758	2077
644	3764	2072
645	3771	2066
646	3777	2061
647	3784	2055
648	3790	2050
649	3796	2044
650	3803	2038
651	3809	2033
652	3817	2028
653	3824	2023
654	3830	2017
655	3837	2012
656	3844	2006
657	3850	2001
658	3856	1995
659	3863	1990
660	3869	1984
661	3875	1978
662	3890	1977
663	3897	1972
664	3902	1966
665	3908	1960
666	3913	1953
667	3919	1947
668	3924	1941
669	3929	1935
670	3933	1928
671	3939	1922
672	3944	1916
673	3949	1910
674	3956	1904
675	3960	1898
676	3965	1892
677	3971	1886
678	3976	1879
679	3981	1873
680	3987	1867
681	3993	1861
682	3998	1855
683	4003	1849
684	4008	1843
685	4013	1836
686	4018	1830
687	4023	1824
688	4028	1818
689	4033	1812
690	4038	1806
691	4043	1799
692	4048	1793
693	4053	1787
694	4059	1781
695	4064	1775
696	4070	1769
697	4075	1763
698	4081	1757
699	4086	1751
700	4095	1746
701	4100	1740
702	4105	1734
703	4110	1728
704	4115	1722
705	4120	1715
706	4125	1709
707	4130	1703
708	4135	1697
709	4140	1691
710	4145	1685
711	4150	1678
712	4155	1672
713	4160	1666
714	4165	1660
715	4170	1654
716	4175	1648
717	4181	1642
718	4186	1635
719	4190	1629
720	4197	1624
721	4204	1618
722	4210	1613
723	4216	1607
724	4222	1601
725	4227	1595
726	4232	1589
727	4237	1583
728	4248	1579
729	4253	1573
730	4260	1567
731	4266	1562
732	4272	1556
733	4278	1550
734	4284	1544
735	4290	1538
736	4295	1532
737	4305	1528
738	4311	1522
739	4316	1516
740	4321	1510
741	4326	1504
742	4331	1498
743	4337	1492
744	4342	1486
745	4347	1480
746	4353	1474
